Model_Name,Price,Rating
Apple iPhone 7 (32GB) - Black,"29,499",4.2 out of 5 stars
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999",4.2 out of 5 stars
"Vivo U10 (Electric Blue, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)","10,990",4.3 out of 5 stars
"OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",4.1 out of 5 stars
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","17,499",4.3 out of 5 stars
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","13,999",4.2 out of 5 stars
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)","16,499",4.3 out of 5 stars
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)","15,999",4.2 out of 5 stars
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","15,999",4.2 out of 5 stars
"Redmi Note 8 Pro (Halo White, 6GB RAM, 128GB Storage with Helio G90T Processor)","16,999",4.3 out of 5 stars
"OPPO A5 2020 (Mirror Black, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",4.1 out of 5 stars
"Vivo U10 (Thunder Black,5000 mAH 18W Fast Charge Battery, 3GB RAM, 32GB Storage)","10,990",4.3 out of 5 stars
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","17,499",4.3 out of 5 stars
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","16,499",4.3 out of 5 stars
"OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",4.1 out of 5 stars
"Vivo Y12 (Aqua Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",4.2 out of 5 stars
"Redmi 9 Prime (Space Blue, 4GB RAM, 128GB Storage)-Full HD+ Display & AI Quad Camera","11,999",3.6 out of 5 stars
"OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","12,490",3.9 out of 5 stars
"Vivo Y15 (Aqua Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange","12,990",4.2 out of 5 stars
"OnePlus 7T (Glacier Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 3800mAH Battery)","37,999",4.5 out of 5 stars
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Gorilla Glass 5 Protection","13,999",4.3 out of 5 stars
"Vivo U10 (Thunder Black, 5000 mAH 18W Fast Charge Battery, 3GB RAM, 64GB Storage)","11,490",4.3 out of 5 stars
"Mi Redmi 8 Smartphone (Onyx Black, 4GB RAM, 64GB Storage)",-1,3.9 out of 5 stars
"Vivo Y12 (Burgundy Red, 3GB RAM, 64GB Storage)","10,990",4.2 out of 5 stars
"Hohem iSteady Mobile Plus 3 Axis Handheld Smartphone Gimbal Stabilizer for iPhones, Android Phones Featuring Video Stabilizer with Inspection Mode, Sport Mode, Face Object Tracking, Motion Time-Lapse","6,990",4.1 out of 5 stars
